Date,Open,High,Low,Close,Prev_Close,Change,Percent_Change,Shares_Traded,Turnover_Cr,PE,PB,Div_Yield,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Prev_Close,VIX_Change,VIX_Percent_Change,Price_Turn,Direction,Near_Close,Near_Contracts,Near_TurnOver,Near_OI,Near_OI_Change,Next_Close,Next_Contracts,Next_TurnOver,Next_OI,Next_OI_Change,Far_Close,Far_Contracts,Far_TurnOver,Far_OI,Far_OI_Change,Week_Day,Week_Num,Trading_Days
27-Nov-2015,7910.6,7959.3,7879.45,7942.7,7883.8,58.9,0.75,154863047,7068.72,21.47,3.19,1.43,16.6875,16.98,16.17,16.73,16.6875,0.04,0.25,0,1,7972.2,139963,834964.88,18727050,-50850,8009.8,3889,23315.4,770250,80325,8049.4,622,3749.11,16200,16200,Fri,W1,24
30-Nov-2015,7936.25,7966,7922.8,7935.25,7942.7,-7.45,-0.09,223041699,15368.67,21.45,3.19,1.43,16.73,17.235,15.8525,16.43,16.73,-0.3,-1.79,0,1,7980.1,108287,647772.5,19202025,474975,8015.7,1840,11056.78,785775,15525,8052.2,482,2910.01,37425,21225,Mon,W1,24
01-Dec-2015,7958.15,7972.15,7934.15,7954.9,7935.25,19.65,0.25,142945421,6796.67,21.51,3.19,1.43,16.43,16.43,15.525,15.635,16.43,-0.8,-4.84,0,1,7987.75,106700,639019.82,19505850,303825,8023.3,2328,14005.81,812550,26775,8061.8,569,3438.37,40800,3375,Tue,W1,24
02-Dec-2015,7976.7,7979.3,7910.8,7931.35,7954.9,-23.55,-0.3,130207404,6242.53,21.44,3.19,1.44,15.635,15.9825,14.725,15.4875,15.635,-0.15,-0.94,1,2,7962.9,100414,599843.67,19342200,-163650,7999.25,2816,16899.14,815925,3375,8039.95,382,2302.93,43500,2700,Wed,W1,24
03-Dec-2015,7902.3,7912.3,7853.3,7864.15,7931.35,-67.2,-0.85,129628400,5636.41,21.26,3.16,1.45,15.4875,16.155,15.1175,16.055,15.4875,0.57,3.66,0,2,7890.8,125397,744376.36,19372950,30750,7929.45,3870,23083.04,862125,46200,7964.95,473,2834.54,46875,3375,Thu,W1,24
04-Dec-2015,7817.6,7821.4,7775.7,7781.9,7864.15,-82.25,-1.05,157231681,7758.36,21.04,3.13,1.46,16.055,16.55,15.5625,16.085,16.055,0.03,0.19,0,2,7820.5,119210,700153.92,19555500,182550,7856.25,4296,25352.13,922050,59925,7893.95,750,4446.07,62925,16050,Fri,W2,24
07-Dec-2015,7816.55,7825.4,7746.05,7765.4,7781.9,-16.5,-0.21,141893279,6403.97,20.99,3.12,1.47,16.085,16.3625,15.79,15.865,16.085,-0.22,-1.37,0,2,7808.8,95802,561637.66,19354950,-200550,7847.2,3882,22869.81,974325,52275,7883,471,2787.32,61500,-1425,Mon,W2,24
08-Dec-2015,7738.5,7771.25,7685.45,7701.7,7765.4,-63.7,-0.82,139318392,5986.06,20.82,3.09,1.48,15.865,16.2425,15.47,15.9725,15.865,0.11,0.68,0,2,7728.6,111164,647246.28,19265025,-89925,7766.35,4858,28402.63,1081575,107250,7805.05,560,3291.33,70350,8850,Tue,W2,24
09-Dec-2015,7695.5,7702.85,7606.9,7612.5,7701.7,-89.2,-1.16,144315690,6599.6,20.58,3.06,1.5,15.9725,16.9175,15.37,16.725,15.9725,0.75,4.71,0,2,7644.35,160403,923759.58,19558275,293250,7681.65,6445,37293.66,1146300,64725,7718.9,1033,6007.17,76950,6600,Wed,W2,24
10-Dec-2015,7643.3,7691.95,7610,7683.3,7612.5,70.8,0.93,145249292,6492.02,20.77,3.09,1.48,16.725,16.725,15.4625,16.2925,16.725,-0.43,-2.59,0,2,7710.75,128395,739709.47,18865800,-692475,7747.35,5468,31639.15,1208475,62175,7783.55,868,5048.5,99450,22500,Thu,W2,24
